cid,pid,lid,cgid,cgname
810,15892,20166,18,Jewelry & Watches
810,24742,20087,3,Women's Apparel
810,24742,20087,2,Men's Apparel
837,5751,106491,38,School
839,5794,79451,3,Women's Apparel
859,5958,106582,53,Hospital
871,6817,107013,3,Women's Apparel
878,16638,20248,3,Women's Apparel
878,16638,20248,4,Women's Accessory
914,15405,117105,11,Beauty & Spa
914,16203,117453,8,Electronics
937,7215,107922,3,Women's Apparel
937,7215,107922,4,Women's Accessory
937,7215,107922,2,Men's Apparel
937,7215,107922,5,Men's Accessory
937,7228,107009,3,Women's Apparel
937,15308,20224,3,Women's Apparel
937,15308,20224,4,Women's Accessory
937,15308,20224,2,Men's Apparel
937,15308,20224,5,Men's Accessory
937,15476,107018,3,Women's Apparel
937,15476,107018,2,Men's Apparel
955,16852,118225,10,Food & Beverage
976,14006,116137,18,Jewelry & Watches
984,6785,107019,3,Women's Apparel
984,6785,107019,2,Men's Apparel
1016,14127,107013,3,Women's Apparel
1016,14570,20038,3,Women's Apparel
1020,15633,107029,18,Jewelry & Watches
1099,7350,108082,7,Department Store/Mall
1099,7357,108087,44,Auto/Motorcycle Dealer
1122,7412,108186,10,Food & Beverage
1157,16852,118225,10,Food & Beverage
1249,7872,109108,61,Library
1250,7875,109110,41,Grocery/Supermarket
1250,7875,109110,10,Food & Beverage
1250,7876,109111,41,Grocery/Supermarket
1250,7876,109111,10,Food & Beverage
1251,7880,109114,10,Food & Beverage
1251,7881,109115,44,Auto/Motorcycle Dealer
1251,7882,109116,11,Beauty & Spa
1253,7885,109117,33,Medical Facility
1253,7886,109118,38,School
1280,7967,109472,11,Beauty & Spa
1333,15359,20224,3,Women's Apparel
1333,15359,20224,4,Women's Accessory
1333,15359,20224,2,Men's Apparel
1333,15359,20224,5,Men's Accessory
1469,8692,110714,40,House of Worship
1469,8693,110715,38,School
1487,9327,20252,2,Men's Apparel
1487,13054,115674,4,Women's Accessory
1487,25316,115674,4,Women's Accessory
1538,9316,20281,8,Electronics
1538,9319,112431,44,Auto/Motorcycle Dealer
1538,9422,112814,44,Auto/Motorcycle Dealer
1588,9332,112431,44,Auto/Motorcycle Dealer
1590,9341,19932,7,Department Store/Mall
1604,18793,119935,67,Convenience Store
1810,10613,107007,3,Women's Apparel
1810,10614,107020,3,Women's Apparel
1810,10614,107020,2,Men's Apparel
1810,10619,113934,23,Office
1810,10621,113936,23,Office
1810,10622,100279,3,Women's Apparel
1819,10672,113972,8,Electronics
1819,10673,113973,45,Gift Store
1821,10681,107036,11,Beauty & Spa
1825,16203,117453,8,Electronics
1843,10878,114129,25,Hotel
1866,11027,114226,34,Thrift Sore/Antiques
1866,11029,114228,26,Club/Theater
1908,11427,114490,24,Museum
1930,11626,114607,10,Food & Beverage
1941,11697,114655,10,Food & Beverage
1967,11841,107015,2,Men's Apparel
2001,15892,20166,18,Jewelry & Watches
2055,12376,115164,10,Food & Beverage
2081,15113,116875,3,Women's Apparel
2081,15113,116875,2,Men's Apparel
2106,12772,115458,10,Food & Beverage
2106,22916,122932,4,Women's Accessory
2129,16231,20089,3,Women's Apparel
2129,16231,20089,2,Men's Apparel
2150,25193,123819,3,Women's Apparel
2150,25193,123819,4,Women's Accessory
2155,14533,20087,3,Women's Apparel
2155,14533,20087,2,Men's Apparel
2163,17663,118961,18,Jewelry & Watches
2163,17685,118983,3,Women's Apparel
2163,17686,118984,3,Women's Apparel
2163,23964,20270,18,Jewelry & Watches
2216,14137,116202,13,Pharmacy
2235,14137,116202,13,Pharmacy
2288,24119,20087,3,Women's Apparel
2288,24119,20087,2,Men's Apparel
2288,24297,123835,3,Women's Apparel
2288,24297,123835,4,Women's Accessory
2295,14533,20087,3,Women's Apparel
2295,14533,20087,2,Men's Apparel
2298,16492,19974,3,Women's Apparel
2315,14571,20038,3,Women's Apparel
2331,9605,20087,3,Women's Apparel
2331,9605,20087,2,Men's Apparel
2373,23961,20270,18,Jewelry & Watches
2623,15940,20224,3,Women's Apparel
2623,15940,20224,4,Women's Accessory
2623,15940,20224,2,Men's Apparel
2623,15940,20224,5,Men's Accessory
2626,24261,79675,7,Department Store/Mall
2626,24262,79675,7,Department Store/Mall
2626,24263,123819,3,Women's Apparel
2626,24263,123819,4,Women's Accessory
2626,24882,123819,3,Women's Apparel
2626,24882,123819,4,Women's Accessory
2665,15941,20224,3,Women's Apparel
2665,15941,20224,4,Women's Accessory
2665,15941,20224,2,Men's Apparel
2665,15941,20224,5,Men's Accessory
2676,15950,19990,2,Men's Apparel
2690,15983,107032,18,Jewelry & Watches
2692,15990,117379,3,Women's Apparel
2692,15990,117379,4,Women's Accessory
2747,16054,20229,4,Women's Accessory
2780,16073,117396,14,Home & Furnishing
3008,25181,124418,3,Women's Apparel
3092,16638,20248,3,Women's Apparel
3092,16638,20248,4,Women's Accessory
3126,16777,118059,14,Home & Furnishing
3126,16780,77897,3,Women's Apparel
3126,16780,77897,2,Men's Apparel
3211,23963,20270,18,Jewelry & Watches
3380,25048,124332,3,Women's Apparel
3595,19851,120842,18,Jewelry & Watches
3595,22916,122932,4,Women's Accessory
3595,22963,122966,18,Jewelry & Watches
3662,18758,119903,21,Art Gallery
3783,23132,20099,51,Shoes
3791,23965,20270,18,Jewelry & Watches
3939,20734,117197,10,Food & Beverage
3939,20735,117198,10,Food & Beverage
3939,20736,120624,10,Food & Beverage
3940,20737,120621,67,Convenience Store
3943,20744,120574,41,Grocery/Supermarket
4291,23097,20087,3,Women's Apparel
4291,23097,20087,2,Men's Apparel
4753,23962,20270,18,Jewelry & Watches
5590,25547,124699,3,Women's Apparel
5590,25547,124699,2,Men's Apparel
6235,23993,123619,10,Food & Beverage
6816,24340,20087,3,Women's Apparel
6816,24340,20087,2,Men's Apparel
7059,24986,20088,3,Women's Apparel
7059,24986,20088,4,Women's Accessory
7059,24986,20088,2,Men's Apparel
7059,24986,20088,5,Men's Accessory
7059,24987,20088,3,Women's Apparel
7059,24987,20088,4,Women's Accessory
7059,24987,20088,2,Men's Apparel
7059,24987,20088,5,Men's Accessory
10075,24824,20089,3,Women's Apparel
10075,24824,20089,2,Men's Apparel
10075,24897,20088,3,Women's Apparel
10075,24897,20088,4,Women's Accessory
10075,24897,20088,2,Men's Apparel
10075,24897,20088,5,Men's Accessory
10075,24910,20224,3,Women's Apparel
10075,24910,20224,4,Women's Accessory
10075,24910,20224,2,Men's Apparel
10075,24910,20224,5,Men's Accessory
11028,25081,20088,3,Women's Apparel
11028,25081,20088,4,Women's Accessory
11028,25081,20088,2,Men's Apparel
11028,25081,20088,5,Men's Accessory
