cid,pid,lid,bid,brand,mid,mall,st,city,area,sc,ip
179,19452,120523,34703,Startbucks,0,,3017 N. Durham Drive.,Houston Tx,,TX,0
179,19449,99516,26904,Academy Sports + Outdoors,0,,7600 Westheimer Rd,Houston Tx,Houston,TX,0
179,19446,120517,1827,dressbarn,0,,1432 West Gray Ave. ,Houston Tx,,TX,0
179,19445,100499,1827,dressbarn,6702,Northwest Crossing I,13101 Northwest Fwy,Houston Tx,GENAREA,TX,0
179,19438,116576,2077,Men's Wearhouse,0,,6380 Rogerdale Rd,Houston Tx,Houston,TX,0
179,19429,120411,4101,Office Depot,0,,6225 W by NW Blvd,Houston Tx,Houston,TX,0
179,19416,120489,24308,Fresenius Medical Care ,0,,4810 E. Sam Houston Parkway North,Houston Tx,,TX,0
179,19407,120480,248,Starbucks,0,,"9807 Katy Freeway, Suite 140",Houston Tx,,TX,0
179,19404,116139,55,HARRY WINSTON,6818,River Oaks District,4444 Westheimer Road,Houston Tx,GENAREA,TX,0
179,19402,106312,1444,Sur La Table,767,Baybrook Mall,500 Baybrook Mall Dr.,Houston Tx,,TX,0
179,19401,106312,1444,Sur La Table,767,Baybrook Mall,500 Baybrook Mall Dr.,Houston Tx,,TX,0
179,19397,106313,66,ZARA,767,Baybrook Mall,500 Baybrook Mall Dr.,Houston Tx,,TX,0
179,19394,120468,3372,Five Below,0,,"11043 Westheimer Rd, Suite B",Houston Tx,,TX,0
179,19393,120468,3372,Five Below,0,,"11043 Westheimer Rd, Suite B",Houston Tx,,TX,0
179,19392,120466,33747,Stripes,0,,9735 Sheldon Rd. ,Houston Tx,,TX,0
179,19385,120460,26903,O'Reilly Auto Parts,0,,Tidwell & Mesa,Houston Tx,,TX,0
179,19381,120456,33652,Ray's Real Pit BBQ,0,,2800 N. Terminal Rd. Terminal B,Houston Tx,,TX,0
179,19376,116139,55,HARRY WINSTON,6818,River Oaks District,4444 Westheimer Road,Houston Tx,GENAREA,TX,0
179,19374,120449,34690,Sam's Nail Supply,0,,10796 - B Bellaire,Houston Tx,,TX,0
179,19333,120423,33747,Stripes,0,,7677 Gessner Rd,Houston Tx,Houston,TX,0
179,19329,120419,27099,Kolache Factory,0,,811 Louisiana St,Houston  Tx,Houston ,TX,0
179,19328,120419,27099,Kolache Factory,0,,811 Louisiana St,Houston  Tx,Houston ,TX,0
179,19327,109661,248,Starbucks,0,,5820 W Sam Houston Pkwy S,Houston Tx,Houston,TX,0
179,19322,116576,2077,Men's Wearhouse,0,,6380 Rogerdale Rd,Houston Tx,Houston,TX,0
179,19320,120411,4101,Office Depot,0,,6225 W by NW Blvd,Houston Tx,Houston,TX,0
179,19228,115667,2750,Guitar Center,0,,8390 Westheimer Rd,Houston Tx,Houston,TX,0
179,19225,116141,2634,Smashburger,7071,George Bush Intercontinental Airport ,2800 N Terminal Rd,Houston Tx,Houston,TX,0
179,19216,120329,4241,Jason's Deli,0,,12625 East FWY,Houston Tx,,TX,0
179,19211,116568,33746,Corner Store,0,,805 FM 1960,Houston Tx,Houston,TX,0
179,19210,116569,25309,Circle K,0,,17103 W Little York Rd,Houston Tx,Houston,TX,0
179,19208,116572,33748,Stripes 5218,0,,14811 North Fwy,Houston Tx,Houston,TX,0
179,19207,115660,66,ZARA,777,Willowbrook Mall,2000 Willowbrook Mall,Houston Tx,Houston,TX,0
179,19195,116602,1872,Journeys Kidz,7379,Almeda Mall,12200 Gulf Fwy,Houston Tx,,TX,0
179,19194,116602,1872,Journeys Kidz,7379,Almeda Mall,12200 Gulf Fwy,Houston Tx,,TX,0
179,19191,117199,24308,Fresenius Medical Care ,0,,7011 Regency Square Blvd,Houston Tx,,TX,0
179,19176,115906,33620,Ember Steakhouse,7071,George Bush Intercontinental Airport ,2800 N Terminal Rd,Houston Tx,Houston,TX,0
179,19174,120294,34635,Olio Panini - IAH,7071,George Bush Intercontinental Airport ,2800 N Terminal Rd,Houston Tx,Houston,TX,0
179,19109,116594,66,ZARA,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
179,15573,117199,24308,Fresenius Medical Care ,0,,7011 Regency Square Blvd,Houston Tx,,TX,0
179,15572,117198,4506,Potbelly Sandwich Shop,7071,George Bush Intercontinental Airport ,2800 N Terminal Rd,Houston Tx,Houston,TX,0
179,15571,117197,3242,Wendy's,7071,George Bush Intercontinental Airport ,2800 N Terminal Rd,Houston Tx,Houston,TX,0
179,15565,117192,33889,Robins Jean,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
179,15559,19951,770,Johnston & Murphy,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
